"","participant_num","T_start","T_end","Duration__in_seconds_","Affiliation","PrefCand","PrefStrength","PrefStrengthRep","WinProb","WinProbRep","FraudProb","FraudProbMap","DeltaFraudProb","Map","MapMatchPrefer","age.x","state.x","StartDate","EndDate","Duration_inSeconds_","RecordedDate","consent","affiliation","affiliation_4_TEXT","vote","PrefCand_election_day","preferred_candidate_3_TEXT","PrefStrength_election_day","PrefCand_present","preferred_now_3_TEXT","PrefStrength_present","WinCount","WinCount_confidence","WinElectoral","WinElectoral_confidence","WinFraudless","WinFraudless_confidence","PopVoteShareBiden","PopVoteShareBidenNoFraud","NextPresident","NextPresidentConf","attention_check_4","fraud_prob_order_B_T_1","fraud_prob_order_B_T_2","fraud_prob_order_T_B_1","fraud_prob_order_T_B_2","FraudPercent","fraud_benefit_T_B_1","fraud_benefit_B_T_1","FraudActivities","FraudActivities_free_text","ImpactElectoralManipulationPreElection","ImpactVoteFraud","ImpactBallotFraud","ImpactMailFraud","ImpactElectronicSystems","ImpactMisrecording","ImpactMisreporting","ImpactSocialMediaFalseNews","ImpactRightMediaFalseNews","ImpactLeftMediaFalseNews","ImpactNewsAggregFalseNews","fraud_type_ben_T_B_5","fraud_type_ben_T_B_6","fraud_type_ben_T_B_7","fraud_type_ben_T_B_8","fraud_type_ben_T_B_9","fraud_type_ben_T_B_10","fraud_type_ben_T_B_11","fraud_type_ben_T_B_13","fraud_type_ben_T_B_2","fraud_type_ben_T_B_3","fraud_type_ben_T_B_4","fraud_type_ben_B_T_5","fraud_type_ben_B_T_6","fraud_type_ben_B_T_7","fraud_type_ben_B_T_8","fraud_type_ben_B_T_9","fraud_type_ben_B_T_10","fraud_type_ben_B_T_11","fraud_type_ben_B_T_13","fraud_type_ben_B_T_2","fraud_type_ben_B_T_3","fraud_type_ben_B_T_4","citizenship","gender","age.y","state.y","order","entry_num","exclude","exclude_reason","FraudProbCatBiden","FraudProbCatTrump","Fraudbenefitrump","BenefitRightMediaFalseNews","BenefitLeftMediaFalseNews","BenefitNewsAggregFalseNews","BenefitElectoralManipulationPreElection","BenefitVoteFraud","BenefitBallotFraud","BenefitMailFraud","BenefitElectronicSystems","BenefitMisrecording","BenefitMisreporting","BenefitSocialMediaFalseNews","PopVoteShareBidenChange","original_other"
"360",368,"20201104T191345","20201104T191709",203,"Ind","Dem",100,-100,60,40,0,75,75,"Rep",FALSE,26,"Texas","20210120T074154","20210120T074719",325,2021-01-20 07:47:19,"Yes","Ind",NA,"Yes","Dem",NA,100,"Dem",NA,100,"Joe Biden",100,"Joe Biden",100,"Dem",100,54,55,"Joe Biden",100,100,"Extremely unlikely","Extremely unlikely",NA,NA,1,"10",NA,"Mail-in ballot fraud
,Social media campaigns spreading false information,False news stories by ""right-wing"" media",NA,0,7,0,2,0,0,0,39,69,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50","50","50","72","50","51","50","94","94","45","51","Yes","Female",26,"Texas",819,1,FALSE,NA,"Extremely unlikely","Extremely unlikely",90,94,45,51,50,50,50,72,50,51,50,94,1,FALSE
"361",369,"20201104T195528","20201104T195738",130,"Dem","Dem",97,-97,92,8,13,88,75,"Rep",FALSE,34,"New York",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"362",370,"20201104T185053","20201104T185329",155,"Dem","Dem",90,-90,50,50,5,5,0,"Rep",FALSE,NA,NA,"20210119T214747","20210119T215140",232,2021-01-19 21:51:41,"Yes","Dem",NA,"Yes","Dem",NA,75,"Dem",NA,95,"Joe Biden",95,"Joe Biden",95,"Dem",90,52,53,"Joe Biden",85,100,NA,NA,"Extremely unlikely","Extremely unlikely",0,"50",NA,"Vote buying / voter impersonation / misuse of proxy votes",NA,0,1,0,0,0,0,0,25,25,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50","50","50","50","50","50","50","63","63","50","49","Yes","Male",37,"New Jersey",84,1,FALSE,NA,"Extremely unlikely","Extremely unlikely",50,63,50,49,50,50,50,50,50,50,50,63,1,FALSE
"363",371,"20201105T062200","20201105T062409",128,"Ind","Dem",100,-100,80,20,2,1,-1,"Dem",TRUE,30,"Florida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"364",372,"20201105T071857","20201105T073128",751,"Dem","Dem",100,-100,61,39,45,7,-38,"Dem",TRUE,45,"Florida","20210120T050315","20210120T050625",189,2021-01-20 05:06:26,"Yes","Dem",NA,"Yes","Dem",NA,100,"Dem",NA,100,"Joe Biden",100,"Joe Biden",100,"Dem",100,55,55,"Joe Biden",100,100,"Extremely unlikely","Extremely unlikely",NA,NA,0,"0",NA,"Vote buying / voter impersonation / misuse of proxy votes,Ballot manipulation or ballot-box stuffing
,Mail-in ballot fraud
,Tampering with electronic voting systems,Mis-recording of votes by state vote-counters and state electoral officials
,Mis-reporting of final vote counts by state electoral officials,Social media campaigns spreading false information,False news stories by ""right-wing"" media",NA,9,0,0,0,0,7,7,100,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100","100","100","100","100","100","100","100","100","0","0","Yes","Male",45,"Florida",517,1,FALSE,NA,"Extremely unlikely","Extremely unlikely",100,100,0,0,100,100,100,100,100,100,100,100,0,FALSE
"365",373,"20201104T194308","20201104T194500",112,"Rep","Dem",100,-100,81,19,3,16,13,"Dem",TRUE,40,"California","20210120T080336","20210120T081020",404,2021-01-20 08:10:21,"Yes","Rep",NA,"Yes","Dem",NA,100,"Dem",NA,100,"Joe Biden",100,"Joe Biden",100,"Dem",100,65,62,"Joe Biden",100,100,NA,NA,"Extremely unlikely","Extremely unlikely",1,"50",NA,"Other (please explain)
","Trump trying to manipulate the country",0,0,1,1,1,1,0,31,33,34,36,48,49,50,53,51,50,50,64,70,34,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Male",40,"California",854,1,FALSE,NA,"Extremely unlikely","Extremely unlikely",50,30,66,50,52,51,50,47,49,50,50,36,-3,FALSE
"366",374,"20201104T184758","20201104T184939",101,"Rep","Rep",84,84,50,50,11,4,-7,"Rep",TRUE,54,"Georgia","20210120T035737","20210120T040103",205,2021-01-20 04:01:04,"Yes","Rep",NA,"Yes","Rep",NA,81,"Rep",NA,57,"Joe Biden",100,"Joe Biden",100,"Dem",100,51,53,"Joe Biden",100,100,NA,NA,"Unlikely","Unlikely",3,NA,24,"Vote buying / voter impersonation / misuse of proxy votes,Mail-in ballot fraud
,Mis-reporting of final vote counts by state electoral officials",NA,0,3,0,4,0,0,0,0,0,5,0,0,0,0,100,0,0,0,0,3,94,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Male",54,"Georgia",447,1,FALSE,NA,"Unlikely","Unlikely",24,97,6,100,100,100,100,0,100,100,100,100,2,FALSE
"367",376,"20201104T192526","20201104T192603",36,"Rep","Rep",31,31,8,8,19,8,-11,"Dem",FALSE,20,"Texas","20210120T003420","20210120T003608",108,2021-01-20 00:36:09,"Yes","Ind",NA,"Yes","Rep",NA,64,"Rep",NA,48,"Joe Biden",100,"Joe Biden",100,"Dem",72,58,55,"Joe Biden",100,100,NA,NA,"Extremely unlikely","Unlikely",1,NA,44,"Ballot manipulation or ballot-box stuffing
,Mail-in ballot fraud
,Social media campaigns spreading false information,False news stories by ""right-wing"" media,False news stories by ""left-wing"" media",NA,0,11,59,90,10,58,71,25,38,38,9,56,46,73,83,51,46,43,47,36,71,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Male",20,"Texas",354,1,FALSE,NA,"Unlikely","Extremely unlikely",44,64,29,42,44,54,27,17,49,54,57,53,-3,FALSE
"368",377,"20201104T201532","20201104T201729",116,"Dem","Dem",100,-100,80,20,0,0,0,"Rep",FALSE,44,"Washington","20210119T214855","20210119T215436",340,2021-01-19 21:54:36,"Yes","Dem",NA,"Yes","Dem",NA,100,"Dem",NA,100,"Joe Biden",100,"Joe Biden",100,"Dem",100,56,56,"Joe Biden",100,100,"Extremely unlikely","Extremely unlikely",NA,NA,0,NA,100,"Social media campaigns spreading false information,False news stories by ""right-wing"" media",NA,0,0,0,0,0,0,0,100,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51","51","51","51","51","51","51","100","100","51","51","Yes","Male",44,"Washington",105,1,FALSE,NA,"Extremely unlikely","Extremely unlikely",100,100,51,51,51,51,51,51,51,51,51,100,0,FALSE
"369",378,"20201104T184637","20201104T185008",210,"Rep","Rep",82,82,42,42,83,88,5,"Rep",TRUE,42,"Texas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"370",379,"20201105T063346","20201105T063513",86,"Ind","Dem",100,-100,91,9,0,9,9,"Rep",FALSE,39,"Texas","20210120T043323","20210120T043705",222,2021-01-20 04:37:06,"Yes","Ind",NA,"Yes","Dem",NA,100,"Dem",NA,100,"Joe Biden",100,"Joe Biden",100,"Dem",100,45,55,"Joe Biden",100,100,"Unlikely","Likely",NA,NA,2,NA,55,"Electorate manipulation prior to election day,Vote buying / voter impersonation / misuse of proxy votes,Social media campaigns spreading false information,False news stories by ""right-wing"" media,False news stories by ""left-wing"" media",NA,0,7,0,1,0,0,0,8,8,8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60","61","61","53","51","51","51","51","51","51","51","Yes","Female",40,"Texas",489,1,FALSE,NA,"Unlikely","Likely",55,51,51,51,60,61,61,53,51,51,51,51,10,FALSE
"371",380,"20201104T192237","20201104T192447",130,"Dem","Dem",100,-100,90,10,5,0,-5,"Dem",TRUE,35,"Kentucky",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"372",381,"20201105T072027","20201105T072408",221,"Rep","Rep",100,100,40,40,90,15,-75,"Rep",TRUE,58,"Tennessee","20210120T092356","20210120T093228",512,2021-01-20 09:32:29,"Yes","Rep",NA,"Yes","Rep",NA,100,"Rep",NA,100,"Joe Biden",0,"Joe Biden",0,"Rep",100,71,0,"Joe Biden",100,100,NA,NA,"Extremely unlikely","Extremely likely",70,NA,0,"Electorate manipulation prior to election day,Vote buying / voter impersonation / misuse of proxy votes,Ballot manipulation or ballot-box stuffing
,Mail-in ballot fraud
,Mis-recording of votes by state vote-counters and state electoral officials
,Mis-reporting of final vote counts by state electoral officials",NA,84,84,93,100,64,100,100,100,27,100,100,100,100,100,100,100,100,100,100,51,100,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Female",58,"Tennessee",939,1,FALSE,NA,"Extremely likely","Extremely unlikely",0,49,0,25,0,0,0,0,0,0,0,0,-71,FALSE
"373",382,"20201105T004717","20201105T005014",177,"Rep","Rep",100,100,91,91,89,22,-67,"Rep",TRUE,50,"North Carolina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"374",383,"20201105T052031","20201105T052232",121,"Rep","Rep",60,60,10,10,10,0,-10,"Dem",FALSE,42,"Kentucky",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"375",384,"20201105T075750","20201105T075909",79,"Ind","Dem",40,-40,90,10,15,15,0,"Dem",TRUE,34,"Georgia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"376",385,"20201104T202001","20201104T202249",167,"Ind","Dem",100,-100,85,15,30,40,10,"Dem",TRUE,58,"Washington",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"377",386,"20201105T075207","20201105T075409",122,"Dem","Dem",100,-100,100,0,1,92,91,"Rep",FALSE,51,"Michigan","20210120T074014","20210120T074600",345,2021-01-20 07:46:00,"Yes","Dem",NA,"Yes","Dem",NA,100,"Dem",NA,100,"Joe Biden",100,"Joe Biden",100,"Dem",100,52,52,"Joe Biden",100,100,NA,NA,"Extremely unlikely","Extremely unlikely",0,"50",NA,"Social media campaigns spreading false information,False news stories by ""right-wing"" media",NA,0,0,0,0,0,0,0,100,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51","51","51","51","51","51","51","73","73","51","51","Yes","Female",52,"Michigan",815,1,FALSE,NA,"Extremely unlikely","Extremely unlikely",50,73,51,51,51,51,51,51,51,51,51,73,0,FALSE
"378",387,"20201104T193151","20201104T193423",152,"Dem","Dem",79,-79,70,30,35,25,-10,"Dem",TRUE,31,"Illinois",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"379",388,"20201104T232951","20201104T233132",100,"Rep","Rep",91,91,81,81,100,23,-77,"Dem",FALSE,64,"North Carolina","20210120T015831","20210120T020302",271,2021-01-20 02:03:03,"Yes","Ind",NA,"Yes","Other","jo jorgensen",100,"Rep",NA,78,"Donald Trump",100,"Joe Biden",77,"Rep",100,54,10,"Donald Trump",61,100,NA,NA,"Extremely unlikely","Extremely likely",26,NA,0,"Electorate manipulation prior to election day,Vote buying / voter impersonation / misuse of proxy votes,Ballot manipulation or ballot-box stuffing
,Mail-in ballot fraud
,Tampering with electronic voting systems,Mis-recording of votes by state vote-counters and state electoral officials
,Mis-reporting of final vote counts by state electoral officials,Social media campaigns spreading false information,False news stories by ""left-wing"" media,False news stories by news aggregator services (e.g., Reuters, Allied Press)",NA,29,35,80,98,83,18,63,83,0,88,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","51","0","0","Yes","Male",65,"North Carolina",383,1,FALSE,NA,"Extremely likely","Extremely unlikely",0,51,0,0,0,0,0,0,0,0,0,0,-44,FALSE
"380",389,"20201105T063936","20201105T064111",94,"Ind","Dem",100,-100,51,49,0,0,0,"Rep",FALSE,34,"Colorado","20210120T070443","20210120T071017",333,2021-01-20 07:10:17,"Yes","Ind",NA,"Yes","Dem",NA,100,"Dem",NA,100,"Joe Biden",100,"Joe Biden",99,"Dem",100,45,45,"Joe Biden",100,100,NA,NA,"Extremely unlikely","Extremely unlikely",1,NA,85,"Vote buying / voter impersonation / misuse of proxy votes,Ballot manipulation or ballot-box stuffing
,Mail-in ballot fraud
,Mis-recording of votes by state vote-counters and state electoral officials
",NA,71,0,0,0,0,1,0,100,100,8,0,2,1,1,53,1,50,50,0,0,53,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Female",34,"Colorado",741,1,FALSE,NA,"Extremely unlikely","Extremely unlikely",85,100,47,50,98,99,99,47,99,50,50,100,0,FALSE
"381",390,"20201104T191043","20201104T191227",104,"Rep","Rep",100,100,90,90,100,100,0,"Rep",TRUE,69,"Connecticut","20210120T064603","20210120T065341",457,2021-01-20 06:53:41,"Yes","Rep",NA,"Yes","Rep",NA,100,"Rep",NA,100,"Joe Biden",100,"Joe Biden",100,"Rep",100,49,51,"Joe Biden",100,100,"Extremely likely","Extremely unlikely",NA,NA,40,NA,0,"Electorate manipulation prior to election day,Ballot manipulation or ballot-box stuffing
,Mail-in ballot fraud
,Tampering with electronic voting systems,False news stories by ""left-wing"" media",NA,100,100,100,100,100,51,51,100,0,100,51,100,100,100,100,100,100,51,100,51,100,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Female",69,"Connecticut",707,1,FALSE,NA,"Extremely likely","Extremely unlikely",0,49,0,49,0,0,0,0,0,0,49,0,2,FALSE
"382",391,"20201104T193325","20201104T193451",86,"Rep","Rep",100,100,100,100,80,81,1,"Dem",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"383",392,"20201105T061238","20201105T061446",127,"Dem","Dem",100,-100,85,15,5,100,95,"Rep",FALSE,41,"Kentucky",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"384",394,"20201105T071824","20201105T072055",151,"Rep","Rep",88,88,35,35,85,85,0,"Rep",TRUE,49,"Colorado","20210120T074148","20210120T074703",314,2021-01-20 07:47:03,"Yes","Rep",NA,"Yes","Rep",NA,100,"Rep",NA,100,"Joe Biden",100,"Joe Biden",100,"Rep",80,61,21,"Joe Biden",100,100,NA,NA,"Extremely unlikely","Extremely likely",24,NA,0,"Electorate manipulation prior to election day,Vote buying / voter impersonation / misuse of proxy votes,Ballot manipulation or ballot-box stuffing
,Mail-in ballot fraud
,Tampering with electronic voting systems,Mis-recording of votes by state vote-counters and state electoral officials
,Social media campaigns spreading false information,False news stories by ""left-wing"" media,False news stories by news aggregator services (e.g., Reuters, Allied Press)",NA,30,39,69,82,44,40,1,75,0,82,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18","25","24","13","18","15","6","14","50","21","26","Yes","Female",49,"Colorado",818,1,FALSE,NA,"Extremely likely","Extremely unlikely",0,50,21,26,18,25,24,13,18,15,6,14,-40,FALSE
"385",395,"20201104T234026","20201104T234221",114,"Dem","Dem",98,-98,82,18,18,15,-3,"Rep",FALSE,31,"Illinois",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"386",396,"20201105T073244","20201105T073700",255,"Dem","Dem",100,-100,90,10,0,0,0,"Rep",FALSE,55,"Florida","20210120T043455","20210120T043959",304,2021-01-20 04:39:59,"Yes","Dem",NA,"Yes","Dem",NA,100,"Dem",NA,100,"Joe Biden",100,"Joe Biden",100,"Dem",100,48,48,"Joe Biden",100,100,"Extremely unlikely","Extremely unlikely",NA,NA,0,NA,100,"Social media campaigns spreading false information,False news stories by ""right-wing"" media",NA,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Female",55,"Florida",493,1,FALSE,NA,"Extremely unlikely","Extremely unlikely",100,100,50,50,100,100,100,100,100,100,100,100,0,FALSE
"387",397,"20201105T000553","20201105T000741",107,"Ind","Dem",37,-37,76,24,52,54,2,"Dem",TRUE,22,"Florida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"388",398,"20201104T234100","20201104T234311",130,"Ind","Rep",59,59,42,42,68,53,-15,"Dem",FALSE,30,"Massachusetts","20210119T225156","20210119T225532",215,2021-01-19 22:55:33,"Yes","Ind",NA,"No","Dem",NA,9,"Dem",NA,14,"Joe Biden",90,"Joe Biden",93,"Don't know",51,42,54,"Joe Biden",100,100,NA,NA,"Unlikely","Unlikely",4,"51",NA,"Vote buying / voter impersonation / misuse of proxy votes,Ballot manipulation or ballot-box stuffing
,Mail-in ballot fraud
,Tampering with electronic voting systems",NA,3,2,2,4,1,1,1,3,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"53","56","54","55","56","53","54","55","17","74","49","Yes","Female",31,"Massachusetts",283,1,FALSE,NA,"Unlikely","Unlikely",49,17,74,49,53,56,54,55,56,53,54,55,12,FALSE
"389",399,"20201104T204340","20201104T204830",289,"Ind","Dem",70,-70,93,7,0,0,0,"Dem",TRUE,42,"Georgia","20210119T214542","20210119T215242",419,2021-01-19 21:52:42,"Yes","Ind",NA,"Yes","Dem",NA,75,"Dem",NA,100,"Joe Biden",100,"Joe Biden",100,"Dem",100,54,54,"Joe Biden",100,100,"Extremely unlikely","Extremely unlikely",NA,NA,0,NA,50,"Electorate manipulation prior to election day,Mail-in ballot fraud
,Tampering with electronic voting systems,Mis-recording of votes by state vote-counters and state electoral officials
,Mis-reporting of final vote counts by state electoral officials,Social media campaigns spreading false information",NA,1,0,0,0,0,0,0,0,0,0,0,50,50,49,49,49,51,51,47,50,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Male",43,"Georgia",91,1,FALSE,NA,"Extremely unlikely","Extremely unlikely",50,50,50,50,50,50,51,51,51,49,49,53,0,FALSE
"390",400,"20201104T195508","20201104T195709",120,"Ind","Dem",90,-90,60,40,15,79,64,"Rep",FALSE,29,"California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"391",401,"20201105T063816","20201105T064059",162,"Ind","Dem",100,-100,80,20,5,3,-2,"Dem",TRUE,54,"Florida","20210119T221038","20210119T221640",361,2021-01-19 22:16:40,"Yes","Ind",NA,"Yes","Dem",NA,100,"Dem",NA,100,"Joe Biden",100,"Joe Biden",100,"Dem",100,92,92,"Joe Biden",100,100,"Extremely unlikely","Extremely unlikely",NA,NA,1,"50",NA,"Social media campaigns spreading false information",NA,27,4,5,5,1,3,3,52,1,0,0,52,53,53,53,52,53,50,49,45,53,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Female",55,"Florida",213,1,FALSE,NA,"Extremely unlikely","Extremely unlikely",50,55,47,47,48,47,47,47,48,47,50,51,0,FALSE
"392",402,"20201104T191214","20201104T191356",101,"Other","Other",83,NA,0,NA,23,4,-19,"Dem",NA,34,"Iowa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
