"","X","participant_num","T_start","T_end","Duration__in_seconds_","Affiliation","PrefCand","PrefStrength","PrefStrengthRep","WinProb","WinProbRep","FraudProb","FraudProbMap","DeltaFraudProb","Map","MapMatchPrefer","age.x","state.x","StartDate","EndDate","Duration_inSeconds_","RecordedDate","consent","affiliation","affiliation_4_TEXT","vote","PrefCand_election_day","preferred_candidate_3_TEXT","PrefStrength_election_day","PrefCand_present","preferred_now_3_TEXT","PrefStrength_present","WinCount","WinCount_confidence","WinElectoral","WinElectoral_confidence","WinFraudless","WinFraudless_confidence","PopVoteShareBiden","PopVoteShareBidenNoFraud","NextPresident","NextPresidentConf","attention_check_4","fraud_prob_order_B_T_1","fraud_prob_order_B_T_2","fraud_prob_order_T_B_1","fraud_prob_order_T_B_2","FraudPercent","fraud_benefit_T_B_1","fraud_benefit_B_T_1","FraudActivities","FraudActivities_free_text","ImpactElectoralManipulationPreElection","ImpactVoteFraud","ImpactBallotFraud","ImpactMailFraud","ImpactElectronicSystems","ImpactMisrecording","ImpactMisreporting","ImpactSocialMediaFalseNews","ImpactRightMediaFalseNews","ImpactLeftMediaFalseNews","ImpactNewsAggregFalseNews","fraud_type_ben_T_B_5","fraud_type_ben_T_B_6","fraud_type_ben_T_B_7","fraud_type_ben_T_B_8","fraud_type_ben_T_B_9","fraud_type_ben_T_B_10","fraud_type_ben_T_B_11","fraud_type_ben_T_B_13","fraud_type_ben_T_B_2","fraud_type_ben_T_B_3","fraud_type_ben_T_B_4","fraud_type_ben_B_T_5","fraud_type_ben_B_T_6","fraud_type_ben_B_T_7","fraud_type_ben_B_T_8","fraud_type_ben_B_T_9","fraud_type_ben_B_T_10","fraud_type_ben_B_T_11","fraud_type_ben_B_T_13","fraud_type_ben_B_T_2","fraud_type_ben_B_T_3","fraud_type_ben_B_T_4","citizenship","gender","age.y","state.y","order","entry_num","exclude","exclude_reason","FraudProbCatBiden","FraudProbCatTrump","Fraudbenefitrump","BenefitRightMediaFalseNews","BenefitLeftMediaFalseNews","BenefitNewsAggregFalseNews","BenefitElectoralManipulationPreElection","BenefitVoteFraud","BenefitBallotFraud","BenefitMailFraud","BenefitElectronicSystems","BenefitMisrecording","BenefitMisreporting","BenefitSocialMediaFalseNews","PopVoteShareBidenChange","original_other"
"149",308,315,"20201104T213108","20201104T213231",83,"Dem","Dem",100,-100,100,0,50,50,0,"Rep",FALSE,36,"California","20210119T223624","20210119T224029",244,"2021-01-19 22:40:29","Yes","Dem",NA,"Yes","Dem",NA,100,"Dem",NA,100,"Joe Biden",100,"Joe Biden",100,"Dem",100,61,61,"Joe Biden",100,100,"Extremely unlikely","Extremely unlikely",NA,NA,0,50,NA,"Social media campaigns spreading false information",NA,0,0,0,0,0,0,0,100,0,0,49,50,51,50,50,51,51,51,0,0,100,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Female",37,"California",255,1,FALSE,NA,"Extremely unlikely","Extremely unlikely",50,100,0,50,50,49,50,50,49,49,49,100,0,FALSE
"150",309,316,"20201104T200846","20201104T201212",206,"Rep","Rep",100,100,87,87,100,25,-75,"Rep",TRUE,47,"Mississippi","20210119T223601","20210119T224025",264,"2021-01-19 22:40:25","Yes","Rep",NA,"Yes","Rep",NA,100,"Rep",NA,100,"Joe Biden",1,"Joe Biden",5,"Rep",100,62,8,"Joe Biden",3,100,NA,NA,"Extremely unlikely","Extremely likely",97,NA,6,"Electorate manipulation prior to election day,Vote buying / voter impersonation / misuse of proxy votes,Ballot manipulation or ballot-box stuffing
,Mail-in ballot fraud
,Tampering with electronic voting systems,Mis-recording of votes by state vote-counters and state electoral officials
,Mis-reporting of final vote counts by state electoral officials,Social media campaigns spreading false information,False news stories by ""left-wing"" media,False news stories by news aggregator services (e.g., Reuters, Allied Press)",NA,93,95,98,92,97,93,100,100,52,94,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,8,9,7,10,7,8,6,52,6,4,"Yes","Female",47,"Mississippi",254,1,FALSE,NA,"Extremely likely","Extremely unlikely",6,52,6,4,6,8,9,7,10,7,8,6,-54,FALSE
"151",310,317,"20201104T191100","20201104T191235",94,"Dem","Dem",85,-85,58,42,11,19,8,"Dem",TRUE,28,"California","20210120T072945","20210120T073328",222,"2021-01-20 07:33:28","Yes","Dem",NA,"Yes","Dem",NA,100,"Dem",NA,100,"Joe Biden",100,"Joe Biden",100,"Dem",100,61,60,"Joe Biden",100,100,"Unlikely","Likely",NA,NA,0,NA,56,"Social media campaigns spreading false information,False news stories by ""right-wing"" media",NA,0,6,0,1,0,0,0,15,29,5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,50,50,49,50,50,50,65,67,44,60,"Yes","Female",28,"California",789,1,FALSE,NA,"Unlikely","Likely",56,67,44,60,50,50,50,49,50,50,50,65,-1,FALSE
"152",312,319,"20201104T191528","20201104T191653",84,"Rep","Rep",94,94,40,40,90,9,-81,"Rep",TRUE,54,"Missouri","20210120T070341","20210120T070704",202,"2021-01-20 07:07:04","Yes","Rep",NA,"Yes","Rep",NA,100,"Rep",NA,100,"Don't know",81,"Joe Biden",79,"Rep",94,52,61,"Joe Biden",81,100,"Extremely likely","Unlikely",NA,NA,20,100,NA,"Vote buying / voter impersonation / misuse of proxy votes,Ballot manipulation or ballot-box stuffing
,Mail-in ballot fraud
,Tampering with electronic voting systems,False news stories by ""left-wing"" media",NA,24,24,30,78,82,0,0,6,17,29,17,52,57,71,89,93,51,51,51,22,86,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Male",54,"Missouri",726,1,FALSE,NA,"Extremely likely","Unlikely",0,78,14,30,48,43,29,11,7,49,49,49,9,FALSE
"153",315,322,"20201105T081157","20201105T081404",126,"Rep","Rep",95,95,30,30,65,70,5,"Dem",FALSE,36,"Texas","20210120T074528","20210120T075412",524,"2021-01-20 07:54:13","Yes","Rep",NA,"No","Rep",NA,100,"Rep",NA,80,"Joe Biden",100,"Joe Biden",100,"Rep",67,38,65,"Joe Biden",100,100,NA,NA,"Extremely unlikely","Likely",40,NA,5,"Mis-recording of votes by state vote-counters and state electoral officials
,Mis-reporting of final vote counts by state electoral officials",NA,0,0,9,4,15,92,93,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,8,0,0,0,0,0,0,0,11,"Yes","Female",36,"Texas",832,1,FALSE,NA,"Likely","Extremely unlikely",5,0,0,11,4,6,8,0,0,0,0,0,27,FALSE
"154",316,323,"20201105T060839","20201105T061116",157,"Rep","Rep",93,93,60,60,40,57,17,"Rep",TRUE,32,"Virginia","20210120T062525","20210120T062950",264,"2021-01-20 06:29:50","Yes","Rep",NA,"Prefer not to say","Rep",NA,85,"Rep",NA,73,"Joe Biden",82,"Joe Biden",83,"Don't know",88,32,14,"Joe Biden",94,100,"Extremely unlikely","Likely",NA,NA,20,NA,10,"Ballot manipulation or ballot-box stuffing
,Mail-in ballot fraud
,Mis-recording of votes by state vote-counters and state electoral officials
,Mis-reporting of final vote counts by state electoral officials",NA,8,0,22,41,8,68,77,0,0,0,0,43,60,71,70,74,75,79,38,40,67,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Female",32,"Virginia",657,1,FALSE,NA,"Extremely unlikely","Likely",10,60,33,55,57,40,29,30,26,25,21,62,-18,FALSE
"155",317,324,"20201104T190439","20201104T190742",183,"Dem","Dem",100,-100,89,11,3,100,97,"Rep",FALSE,35,"California","20210119T215212","20210119T215947",454,"2021-01-19 21:59:47","Yes","Dem",NA,"Yes","Dem",NA,100,"Dem",NA,100,"Joe Biden",100,"Joe Biden",100,"Dem",100,55,55,"Joe Biden",100,100,NA,NA,"Extremely unlikely","Extremely unlikely",0,NA,100,"Vote buying / voter impersonation / misuse of proxy votes,Ballot manipulation or ballot-box stuffing
,Mail-in ballot fraud
,Tampering with electronic voting systems",NA,2,1,0,1,0,0,0,100,100,18,12,48,46,49,48,50,50,51,0,0,82,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Male",35,"California",146,1,FALSE,NA,"Extremely unlikely","Extremely unlikely",100,100,18,55,52,54,51,52,50,50,49,100,0,FALSE
"156",318,325,"20201105T061236","20201105T061645",248,"Dem","Dem",100,-100,100,0,0,0,0,"Rep",FALSE,45,"North Carolina","20210120T064750","20210120T070617",1106,"2021-01-20 07:06:17","Yes","Dem",NA,"Yes","Dem",NA,100,"Dem",NA,100,"Joe Biden",100,"Joe Biden",100,"Don't know",100,81,53,"Joe Biden",100,100,NA,NA,"Extremely unlikely","Extremely unlikely",0,0,NA,"Vote buying / voter impersonation / misuse of proxy votes,False news stories by ""right-wing"" media",NA,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,48,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Female",46,"North Carolina",722,1,FALSE,NA,"Extremely unlikely","Extremely unlikely",100,100,52,100,100,100,100,100,100,100,100,100,-28,FALSE
"157",319,326,"20201105T055143","20201105T055245",61,"Dem","Dem",100,-100,80,20,25,10,-15,"Dem",TRUE,30,"Pennsylvania","20210120T061509","20210120T061844",214,"2021-01-20 06:18:44","Yes","Dem",NA,"Yes","Dem",NA,100,"Dem",NA,100,"Joe Biden",100,"Joe Biden",100,"Dem",100,52,55,"Joe Biden",100,100,"Unlikely","Likely",NA,NA,1,10,NA,"Vote buying / voter impersonation / misuse of proxy votes,Mail-in ballot fraud
,Social media campaigns spreading false information,False news stories by ""right-wing"" media,Other (please explain)
","Fake voter mail boxes, voting in place of dead people in PA",93,56,55,78,8,6,4,97,97,29,0,13,25,30,8,51,51,51,30,11,63,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Male",30,"Pennsylvania",633,1,FALSE,NA,"Unlikely","Likely",90,89,37,50,87,75,70,92,49,49,49,70,3,FALSE
"158",324,331,"20201105T072702","20201105T072855",113,"Dem","Dem",60,-60,80,20,20,50,30,"Rep",FALSE,25,"New York","20210120T070436","20210120T070940",303,"2021-01-20 07:09:40","Yes","Dem",NA,"Yes","Dem",NA,90,"Dem",NA,100,"Joe Biden",100,"Joe Biden",100,"Dem",100,48,48,"Joe Biden",100,100,NA,NA,"Extremely unlikely","Extremely unlikely",0,NA,50,"Ballot manipulation or ballot-box stuffing
,Mail-in ballot fraud
,Social media campaigns spreading false information",NA,0,0,0,0,0,0,0,51,51,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,51,51,51,51,51,51,81,100,0,37,"Yes","Male",NA,NA,735,1,FALSE,NA,"Extremely unlikely","Extremely unlikely",50,100,0,37,50,51,51,51,51,51,51,81,0,FALSE
"159",325,332,"20201105T050313","20201105T050440",86,"Ind","Dem",87,-87,79,21,10,2,-8,"Dem",TRUE,45,"South Dakota","20210119T214157","20210119T214524",207,"2021-01-19 21:45:25","Yes","Ind",NA,"Yes","Dem",NA,100,"Dem",NA,100,"Joe Biden",100,"Joe Biden",100,"Dem",100,56,56,"Joe Biden",100,100,"Extremely unlikely","Extremely likely",NA,NA,0,NA,100,"Tampering with electronic voting systems,Mis-reporting of final vote counts by state electoral officials,Social media campaigns spreading false information,False news stories by ""right-wing"" media",NA,0,0,0,0,0,0,1,100,100,12,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,92,84,73,51,51,100,100,47,72,"Yes","Male",45,"South Dakota",25,1,FALSE,NA,"Extremely unlikely","Extremely likely",100,100,47,72,100,100,92,84,73,51,51,100,0,FALSE
"160",327,334,"20201105T065037","20201105T065158",81,"Rep","Rep",100,100,65,65,40,64,24,"Dem",FALSE,32,"Ohio","20210120T064314","20210120T065022",427,"2021-01-20 06:50:23","Yes","Ind",NA,"No","Other","Jo Jorgenson",57,"Rep",NA,78,"Joe Biden",56,"Joe Biden",49,"Don't know",51,45,40,"Joe Biden",100,100,NA,NA,"Extremely unlikely","Likely",10,NA,0,"Electorate manipulation prior to election day,Mail-in ballot fraud
,Social media campaigns spreading false information,False news stories by ""right-wing"" media,False news stories by ""left-wing"" media",NA,45,50,47,51,51,20,14,15,37,36,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,"Yes","Female",32,"Ohio",699,1,FALSE,NA,"Likely","Extremely unlikely",0,0,0,0,0,0,0,0,0,0,0,0,-5,FALSE
"161",330,337,"20201104T184748","20201104T203808",6619,"Dem","Dem",65,-65,66,34,35,25,-10,"Dem",TRUE,55,"North Carolina","20210120T073927","20210120T075012",644,"2021-01-20 07:50:13","Yes","Dem",NA,"Yes","Dem",NA,75,"Dem",NA,77,"Joe Biden",96,"Joe Biden",95,"Dem",92,55,55,"Joe Biden",100,100,NA,NA,"Unlikely","Unlikely",2,55,NA,"Mis-reporting of final vote counts by state electoral officials,Social media campaigns spreading false information",NA,0,1,0,0,0,1,34,34,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,50,49,49,50,39,39,100,73,41,47,"Yes","Female",55,"North Carolina",824,1,FALSE,NA,"Unlikely","Unlikely",45,73,41,47,50,50,49,49,50,39,39,100,0,FALSE
"162",337,344,"20201104T185224","20201104T185418",114,"Dem","Dem",100,-100,100,0,0,8,8,"Dem",TRUE,57,"New Jersey","20210120T060916","20210120T061348",272,"2021-01-20 06:13:49","Yes","Dem",NA,"Yes","Dem",NA,100,"Dem",NA,100,"Joe Biden",100,"Joe Biden",100,"Dem",100,48,48,"Joe Biden",100,100,NA,NA,"Extremely unlikely","Extremely unlikely",0,NA,76,"Ballot manipulation or ballot-box stuffing
,Mail-in ballot fraud
,Tampering with electronic voting systems,Mis-recording of votes by state vote-counters and state electoral officials
,Mis-reporting of final vote counts by state electoral officials",NA,14,0,0,0,0,0,0,80,95,0,51,9,15,28,16,30,35,22,0,0,50,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Female",57,"New Jersey",624,1,FALSE,NA,"Extremely unlikely","Extremely unlikely",76,100,50,100,91,85,72,84,70,65,78,100,0,FALSE
"163",338,345,"20201104T220812","20201104T220929",77,"Rep","Rep",73,73,23,23,79,96,17,"Dem",FALSE,50,"Indiana","20210120T000522","20210120T000845",202,"2021-01-20 00:08:45","Yes","Rep",NA,"No","Rep",NA,43,"Rep",NA,51,"Joe Biden",55,"Joe Biden",58,"Rep",100,51,43,"Joe Biden",99,100,NA,NA,"Unlikely","Extremely likely",14,NA,0,"Mail-in ballot fraud
,Mis-recording of votes by state vote-counters and state electoral officials
,Mis-reporting of final vote counts by state electoral officials",NA,56,70,57,100,33,73,81,68,29,64,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,18,22,0,28,14,12,29,71,14,23,"Yes","Male",50,"Indiana",344,1,FALSE,NA,"Extremely likely","Unlikely",0,71,14,23,20,18,22,0,28,14,12,29,-8,FALSE
"164",339,346,"20201105T004114","20201105T004416",181,"Rep","Rep",99,99,79,79,86,18,-68,"Rep",TRUE,63,"Idaho","20210120T030530","20210120T030939",249,"2021-01-20 03:09:40","Yes","Rep",NA,"Yes","Rep",NA,100,"Rep",NA,100,"Joe Biden",100,"Joe Biden",100,"Don't know",51,58,51,"Joe Biden",100,100,NA,NA,"Extremely likely","Extremely likely",10,100,NA,"Mail-in ballot fraud
,Tampering with electronic voting systems,Mis-recording of votes by state vote-counters and state electoral officials
",NA,6,1,4,13,16,0,0,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Female",64,"Idaho",415,1,FALSE,NA,"Extremely likely","Extremely likely",0,0,0,0,0,0,0,0,0,0,0,0,-7,FALSE
"165",340,347,"20201105T032604","20201105T032934",209,"Dem","Dem",83,-83,81,19,23,7,-16,"Dem",TRUE,22,"Washington","20210119T224744","20210119T225505",440,"2021-01-19 22:55:06","Yes","Dem",NA,"Yes","Dem",NA,73,"Dem",NA,70,"Joe Biden",74,"Joe Biden",74,"Dem",72,63,67,"Joe Biden",83,100,"Unlikely","Likely",NA,NA,18,NA,68,"Electorate manipulation prior to election day,Ballot manipulation or ballot-box stuffing
,Tampering with electronic voting systems",NA,75,66,61,66,57,52,56,44,56,44,45,41,38,36,43,41,46,51,49,56,44,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Male",22,"Washington",281,1,FALSE,NA,"Unlikely","Likely",68,44,56,57,59,62,64,57,59,54,49,51,4,FALSE
"166",341,348,"20201105T040501","20201105T093414",19752,"Ind","Rep",100,100,50,50,71,10,-61,"Rep",TRUE,47,"Florida","20210120T022007","20210120T022426",259,"2021-01-20 02:24:27","Yes","Ind",NA,"Yes","Rep",NA,100,"Rep",NA,99,"Joe Biden",50,"Joe Biden",59,"Rep",100,69,8,"Joe Biden",100,100,NA,NA,"Extremely likely","Extremely likely",75,NA,0,"Electorate manipulation prior to election day,Vote buying / voter impersonation / misuse of proxy votes,Ballot manipulation or ballot-box stuffing
,Mail-in ballot fraud
,Tampering with electronic voting systems,Mis-recording of votes by state vote-counters and state electoral officials
",NA,88,75,75,100,93,71,56,59,2,61,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,63,0,0,"Yes","Female",47,"Florida",394,1,FALSE,NA,"Extremely likely","Extremely likely",0,63,0,0,0,0,0,0,0,0,0,0,-61,FALSE
"167",344,351,"20201105T021223","20201105T021416",112,"Dem","Dem",100,-100,75,25,0,10,10,"Rep",FALSE,19,"Illinois","20210119T224705","20210119T225053",227,"2021-01-19 22:50:53","Yes","Ind",NA,"Yes","Dem",NA,100,"Dem",NA,100,"Joe Biden",100,"Joe Biden",100,"Dem",100,51,51,"Joe Biden",100,100,NA,NA,"Extremely unlikely","Extremely unlikely",0,50,NA,"Electorate manipulation prior to election day,Vote buying / voter impersonation / misuse of proxy votes,Ballot manipulation or ballot-box stuffing
,Mail-in ballot fraud
,Tampering with electronic voting systems,Mis-recording of votes by state vote-counters and state electoral officials
,Mis-reporting of final vote counts by state electoral officials,Social media campaigns spreading false information,False news stories by ""right-wing"" media,False news stories by ""left-wing"" media,False news stories by news aggregator services (e.g., Reuters, Allied Press)",NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,49,50,50,50,50,50,50,50,50,50,"Yes","Female",52,"Illinois",271,1,FALSE,NA,"Extremely unlikely","Extremely unlikely",50,50,50,50,50,49,50,50,50,50,50,50,0,FALSE
"168",345,352,"20201104T191317","20201104T191424",66,"Dem","Dem",100,-100,90,10,15,15,0,"Dem",TRUE,34,"Massachusetts","20210120T064608","20210120T065033",264,"2021-01-20 06:50:33","Yes","Dem",NA,"Yes","Dem",NA,100,"Dem",NA,100,"Joe Biden",100,"Joe Biden",100,"Dem",100,55,55,"Joe Biden",100,100,"Extremely unlikely","Extremely unlikely",NA,NA,1,49,NA,"Electorate manipulation prior to election day,Vote buying / voter impersonation / misuse of proxy votes,Social media campaigns spreading false information,False news stories by ""right-wing"" media,False news stories by ""left-wing"" media",NA,71,5,2,2,2,2,2,59,68,16,4,24,47,48,48,49,50,50,23,0,100,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Female",34,"Massachusetts",700,1,FALSE,NA,"Extremely unlikely","Extremely unlikely",51,100,0,50,76,53,52,52,51,50,50,77,0,FALSE
"169",346,353,"20201104T184819","20201104T185451",392,"Dem","Dem",100,-100,100,0,0,0,0,"Dem",TRUE,60,"Washington","20210119T215156","20210119T220559",843,"2021-01-19 22:05:59","Yes","Dem",NA,"Yes","Dem",NA,100,"Dem",NA,100,"Joe Biden",100,"Joe Biden",100,"Dem",100,54,48,"Joe Biden",100,100,NA,NA,"Unlikely","Unlikely",0,50,NA,"Other (please explain)
","There was no significant voter fraud",0,0,0,0,0,0,0,0,0,0,0,50,51,50,50,50,49,50,50,50,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Male",60,"Washington",180,1,FALSE,NA,"Unlikely","Unlikely",50,50,50,50,50,49,50,50,50,51,50,50,-6,FALSE
"170",347,354,"20201105T065310","20201105T065606",175,"Dem","Dem",100,-100,75,25,25,0,-25,"Rep",FALSE,31,"Texas","20210119T214109","20210119T214509",239,"2021-01-19 21:45:10","Yes","Ind",NA,"Yes","Dem",NA,100,"Dem",NA,100,"Joe Biden",100,"Joe Biden",100,"Dem",100,75,74,"Joe Biden",100,100,NA,NA,"Extremely likely","Extremely unlikely",0,NA,90,"Social media campaigns spreading false information,False news stories by ""right-wing"" media,Other (please explain)
","Trump throwing questions at the votes before they were even cast.",0,0,0,4,0,0,2,89,100,6,25,50,50,50,28,50,50,50,26,31,54,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Male",32,"Texas",20,1,FALSE,NA,"Extremely unlikely","Extremely likely",90,69,46,50,50,50,50,72,50,50,50,74,-1,FALSE
"171",348,355,"20201104T185722","20201104T190213",290,"Rep","Rep",97,97,71,71,91,83,-8,"Rep",TRUE,68,"South Carolina","20210120T035522","20210120T040944",862,"2021-01-20 04:09:44","Yes","Rep",NA,"Yes","Rep",NA,95,"Rep",NA,72,"Donald Trump",46,"Donald Trump",56,"Rep",74,46,44,"Joe Biden",99,100,"Likely","Likely",NA,NA,34,NA,20,"Electorate manipulation prior to election day,Mail-in ballot fraud
,False news stories by ""left-wing"" media",NA,69,51,37,85,37,68,29,70,39,77,74,73,72,75,72,50,77,49,77,44,81,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Female",67,"South Carolina",463,1,FALSE,NA,"Likely","Likely",20,56,19,15,27,28,25,28,50,23,51,23,-2,FALSE
"172",349,356,"20201105T014011","20201105T014157",106,"Dem","Dem",100,-100,89,11,3,0,-3,"Dem",TRUE,54,"New York","20210120T051118","20210120T051609",290,"2021-01-20 05:16:09","Yes","Dem",NA,"Yes","Dem",NA,100,"Dem",NA,100,"Joe Biden",100,"Joe Biden",100,"Dem",100,100,100,"Joe Biden",95,100,"Extremely unlikely","Extremely unlikely",NA,NA,0,25,NA,"Mis-recording of votes by state vote-counters and state electoral officials
,Social media campaigns spreading false information,False news stories by ""right-wing"" media",NA,0,0,0,0,0,0,0,64,63,0,0,50,50,50,26,50,50,51,6,6,50,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Male",55,"New York",533,1,FALSE,NA,"Extremely unlikely","Extremely unlikely",75,94,50,51,50,50,50,74,50,50,49,94,0,FALSE
"173",350,357,"20201105T081135","20201105T081716",340,"Dem","Dem",91,-91,71,29,71,79,8,"Rep",FALSE,45,"New York","20210120T070754","20210120T071440",405,"2021-01-20 07:14:40","Yes","Dem",NA,"Yes","Dem",NA,31,"Dem",NA,33,"Joe Biden",95,"Joe Biden",96,"Dem",95,65,65,"Joe Biden",100,100,"Extremely unlikely","Extremely unlikely",NA,NA,0,NA,100,"Electorate manipulation prior to election day,Tampering with electronic voting systems,Mis-recording of votes by state vote-counters and state electoral officials
,False news stories by ""right-wing"" media",NA,19,0,0,0,0,0,0,26,27,12,0,0,0,0,0,0,0,0,0,0,50,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Female",46,"New York",748,1,FALSE,NA,"Extremely unlikely","Extremely unlikely",100,100,50,48,100,100,100,100,100,100,100,100,0,FALSE
"174",352,360,"20201104T233210","20201104T233322",72,"Dem","Dem",100,-100,82,18,9,3,-6,"Dem",TRUE,NA,NA,"20210119T214316","20210119T214659",223,"2021-01-19 21:47:00","Yes","Dem",NA,"Yes","Dem",NA,100,"Dem",NA,100,"Joe Biden",100,"Joe Biden",100,"Dem",100,68,70,"Joe Biden",100,100,"Extremely unlikely","Extremely unlikely",NA,NA,1,NA,60,"Vote buying / voter impersonation / misuse of proxy votes,Mail-in ballot fraud
,Social media campaigns spreading false information",NA,0,0,0,1,0,0,2,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,51,51,60,51,51,51,66,80,45,51,"Yes","Male",23,"California",44,1,FALSE,NA,"Extremely unlikely","Extremely unlikely",60,80,45,51,51,51,51,60,51,51,51,66,2,FALSE
"175",353,361,"20201105T055344","20201105T055518",94,"Rep","Rep",90,90,80,80,67,20,-47,"Rep",TRUE,41,"New Jersey","20210120T071928","20210120T072721",473,"2021-01-20 07:27:22","Yes","Rep",NA,"Yes","Rep",NA,100,"Rep",NA,100,"Don't know",85,"Don't know",85,"Rep",90,60,40,"Joe Biden",100,100,"Extremely likely","Extremely unlikely",NA,NA,35,100,NA,"Vote buying / voter impersonation / misuse of proxy votes,Ballot manipulation or ballot-box stuffing
,Mis-recording of votes by state vote-counters and state electoral officials
,Mis-reporting of final vote counts by state electoral officials",NA,54,54,53,51,51,57,57,51,51,51,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,51,36,51,51,33,32,49,64,45,51,"Yes","Female",41,"New Jersey",778,1,FALSE,NA,"Extremely likely","Extremely unlikely",0,64,45,51,23,51,36,51,51,33,32,49,-20,FALSE
"176",354,362,"20201105T064942","20201105T065145",123,"Ind","Rep",100,100,81,81,92,82,-10,"Dem",FALSE,74,"Florida","20210120T055234","20210120T055701",266,"2021-01-20 05:57:01","Yes","Ind",NA,"Yes","Rep",NA,100,"Rep",NA,100,"Joe Biden",55,"Joe Biden",91,"Rep",100,81,100,"Joe Biden",100,100,"Extremely likely","Extremely unlikely",NA,NA,73,100,NA,"Electorate manipulation prior to election day,Vote buying / voter impersonation / misuse of proxy votes,Ballot manipulation or ballot-box stuffing
,Mail-in ballot fraud
,Social media campaigns spreading false information,False news stories by news aggregator services (e.g., Reuters, Allied Press)",NA,75,89,96,68,56,83,87,68,77,56,87,83,92,88,93,84,92,86,86,89,90,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Female",75,"Florida",598,1,FALSE,NA,"Extremely likely","Extremely unlikely",0,11,10,7,17,8,12,7,16,8,14,14,19,FALSE
"177",355,363,"20201104T222457","20201104T222805",188,"Rep","Rep",95,95,86,86,100,100,0,"Dem",FALSE,61,"California","20210119T230055","20210119T230751",416,"2021-01-19 23:07:52","Yes","Rep",NA,"Yes","Rep",NA,100,"Rep",NA,100,"Joe Biden",100,"Joe Biden",100,"Rep",100,45,30,"Donald Trump",70,100,"Extremely likely","Extremely unlikely",NA,NA,16,NA,0,"Ballot manipulation or ballot-box stuffing
,Mail-in ballot fraud
,Tampering with electronic voting systems,Social media campaigns spreading false information",NA,10,6,31,38,62,3,3,9,0,10,10,100,100,100,100,100,100,100,100,0,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Female",61,"California",296,1,FALSE,NA,"Extremely likely","Extremely unlikely",0,100,0,0,0,0,0,0,0,0,0,0,-15,FALSE
